시군구,어린이집명,어린이집유형,운영현황,통학차량운영여부
강동구,구립고덕어린이집,국공립,정상,미운영
강동구,방주어린이집,법인·단체등,정상,미운영
강동구,강동복지관어린이집,국공립,정상,미운영
강동구,구립청소년회관어린이집,국공립,정상,미운영
강동구,구립상일어린이집,국공립,정상,미운영
강동구,구립천일방과후어린이집,국공립,정상,미운영
강동구,구립고덕2어린이집,국공립,정상,미운영
강동구,강동어린이집,국공립,정상,미운영
강동구,다인어린이집,민간,정상,운영
강동구,천동어린이집,민간,정상,운영
강동구,아이숲어린이집,민간,정상,운영
강동구,배꼽어린이집,민간,정상,운영
강동구,강일어린이집,민간,정상,운영
강동구,예솔어린이집,가정,정상,미운영
강동구,꿈쟁이어린이집,가정,정상,미운영
강동구,쥬베베어린이집,가정,정상,미운영
강동구,태영키즈어린이집,가정,정상,미운영
강동구,행복한어린이집,가정,정상,미운영
강동구,해랑어린이집,가정,정상,미운영
강동구,아이캐슬어린이집,가정,정상,운영
강동구,삼성GEC어린이집,직장,정상,미운영
강동구,프라이어생태어린이집,민간,정상,미운영
강동구,바움어린이집,가정,정상,미운영
강동구,무지개어린이집,가정,정상,운영
강동구,선사현대사임당어린이집,가정,정상,미운영
강동구,강일리버빌어린이집,가정,정상,미운영
강동구,사과나무어린이집,가정,정상,미운영
강동구,양양어린이집,가정,정상,미운영
강동구,드림하우스어린이집,가정,정상,미운영
강동구,꼬마에디슨어린이집,가정,정상,미운영
강동구,아이맘어린이집,가정,정상,미운영
강동구,초록빛어린이집,가정,정상,미운영
강동구,아이니어린이집,가정,정상,미운영
강동구,예니뜰어린이집,민간,정상,운영
강동구,아영어린이집,민간,정상,운영
강동구,아이세움어린이집,민간,정상,운영
강동구,은행나무어린이집,민간,정상,미운영
강동구,동화어린이집,민간,정상,미운영
강동구,구립둔촌숲속어린이집,국공립,정상,미운영
강동구,다솜어린이집,민간,정상,미운영
강동구,구립강일새롬어린이집,국공립,정상,미운영
강동구,강일열린어린이집,민간,정상,미운영
강동구,하늘보라어린이집,가정,정상,미운영
강동구,키즈앤플러스어린이집,가정,정상,미운영
강동구,푸른숲어린이집,민간,정상,운영
강동구,아이본어린이집,가정,정상,운영
강동구,구립둔촌푸르지오어린이집,국공립,정상,미운영
강동구,비전어린이집,가정,정상,미운영
강동구,사랑숲어린이집,가정,정상,미운영
강동구,지혜로운어린이집,민간,정상,미운영
강동구,리틀예홍어린이집,민간,정상,미운영
강동구,참빛어린이집,가정,정상,미운영
강동구,그린어린이집,민간,정상,운영
강동구,선사어린이집,민간,정상,운영
강동구,암사꼬마숲어린이집,가정,정상,미운영
강동구,리틀아트짐어린이집,가정,정상,미운영
강동구,해이림어린이집,민간,정상,운영
강동구,강동리베라움어린이집,민간,정상,미운영
강동구,꿈터어린이집,가정,정상,미운영
강동구,아기랑놀이랑어린이집,가정,정상,미운영
강동구,로뎀나무어린이집,가정,재개,미운영
강동구,단비아이어린이집,민간,정상,미운영
강동구,두빛나래어린이집,가정,정상,미운영
강동구,꼬마별어린이집,가정,정상,운영
강동구,강일유희어린이집,가정,정상,미운영
강동구,리틀아띠어린이집,가정,정상,미운영
강동구,이삭어린이집,가정,정상,미운영
강동구,팡팡어린이집,가정,정상,미운영
강동구,하은어린이집,가정,재개,미운영
강동구,예랑어린이집,가정,정상,미운영
강동구,아이재미어린이집,가정,정상,미운영
강동구,다원어린이집,가정,정상,미운영
강동구,디딤돌굿맘어린이집,가정,정상,미운영
강동구,산오름어린이집,가정,정상,운영
강동구,좋은친구어린이집,민간,정상,운영
강동구,성내삼성어린이집,가정,정상,미운영
강동구,롯데예닮어린이집,가정,정상,미운영
강동구,아이즐어린이집,가정,정상,미운영
강동구,리틀프린스어린이집,가정,정상,미운영
강동구,예담어린이집,민간,정상,미운영
강동구,한신리틀어린이집,가정,정상,미운영
강동구,성내장미어린이집,민간,정상,운영
강동구,가온어린이집,가정,정상,미운영
강동구,미래클어린이집,가정,정상,미운영
강동구,예다미어린이집,민간,정상,운영
강동구,구립꿈사랑어린이집,국공립,정상,미운영
강동구,리틀개구쟁이어린이집,민간,정상,운영
강동구,이호어린이집,민간,정상,운영
강동구,강아지똥어린이집,가정,정상,미운영
강동구,파랑새어린이집,가정,정상,미운영
강동구,꼬꼬마어린이집,가정,정상,미운영
강동구,튼튼어린이집,가정,정상,운영
강동구,다기쁨어린이집,가정,정상,미운영
강동구,한스어린이집,민간,정상,운영
강동구,수피아어린이집,민간,정상,운영
강동구,옹달샘어린이집,가정,정상,미운영
강동구,구립코알라어린이집,국공립,정상,미운영
강동구,사랑샘어린이집,가정,정상,미운영
강동구,품아내어린이집,민간,정상,미운영
강동구,하늘숲어린이집,가정,정상,미운영
강동구,제이앤어린이집,가정,정상,미운영
강동구,빛나라어린이집,민간,정상,미운영
강동구,중앙하이츠어린이집,가정,정상,미운영
강동구,자빈어린이집,민간,정상,운영
강동구,쉐마어린이집,가정,정상,미운영
강동구,아이비어린이집,가정,재개,운영
강동구,세빛어린이집,민간,정상,운영
강동구,미키미니어린이집,가정,재개,미운영
강동구,혜윰어린이집,민간,정상,운영
강동구,아장아장어린이집,가정,정상,미운영
강동구,롯데캐슬예랑어린이집,가정,정상,미운영
강동구,구립해솔어린이집,국공립,정상,미운영
강동구,푸른뜰어린이집,민간,정상,운영
강동구,코끼리어린이집,가정,정상,미운영
강동구,구립도담어린이집,국공립,정상,미운영
강동구,구립해그린어린이집,국공립,정상,미운영
강동구,구립허브림어린이집,국공립,정상,미운영
강동구,구립아이누리어린이집,국공립,정상,미운영
강동구,구립해여울어린이집,국공립,정상,미운영
강동구,구립기리울어린이집,국공립,정상,미운영
강동구,구립동심어린이집,국공립,정상,미운영
강동구,구립행복이든어린이집,국공립,정상,미운영
강동구,구립한마을어린이집,국공립,정상,미운영
강동구,구립명일2동어린이집,국공립,정상,미운영
강동구,구립은강어린이집,국공립,정상,미운영
강동구,구립천호2어린이집,국공립,정상,미운영
강동구,구립한빛어린이집,국공립,정상,미운영
강동구,구립현대어린이집,국공립,정상,미운영
강동구,구립해든어린이집,국공립,정상,미운영
강동구,구립연두어린이집,국공립,정상,미운영
강동구,구립명일사랑어린이집,국공립,정상,미운영
